corp,year,operating_income,revenue,net_income,outstanding_shares,total_liabilities,total_assets,cash_flow_per_share,sales_per_share,current_assets,current_liabilities,inventory,net_working_capital,non_current_assets,non_current_liabilities
DRB동일,2018,27046587454.0,545431367131.0,15290393039.0,38960000,267955159678.0,716166879071.0,769.6541371663244,13999.778417120124,307345462559.0,214420994677.0,87100026949.0,92924467882.0,408821416512.0,53534165001.0
DRB동일,2019,26475358478.0,546994961176.0,13709649688.0,39860000,283757306556.0,745278926520.0,1049.4707482940291,13722.904194079278,319781106444.0,223720043714.0,84028772984.0,96061062730.0,425497820076.0,60037262842.0
DRB동일,2020,21049959929.0,496638329092.0,6267806548.0,39860000,312819481260.0,776434763082.0,1304.0336618163572,12459.566710787758,360352120076.0,240636807582.0,78607515360.0,119715312494.0,416082643006.0,72182673678.0
DRB동일,2021,577562481.0,551337199988.0,-2796740448.0,39860000,356400809939.0,831956562409.0,-1212.7136865278474,13831.841444756648,384837852730.0,311773257300.0,110920540996.0,73064595430.0,447118709679.0,44627552639.0
DRB동일,2022,12110321241.0,661814016477.0,3536815255.0,39860000,465469810224.0,945238494728.0,-291.9642525840442,16603.46253078274,475692073884.0,400359407544.0,142723632469.0,75332666340.0,469546420844.0,65110402680.0
DSR,2018,9905832148.0,236022374628.0,8019140276.0,32000000,77555224348.0,225031293123.0,143.0245160625,7375.699207125,118932512525.0,72833332469.0,62693882807.0,46099180056.0,106098780598.0,4721891879.0
DSR,2019,10659340231.0,236324122853.0,8785193596.0,32000000,85074300200.0,240410406795.0,430.11284096875,7385.12883915625,123696803929.0,77660951425.0,59378663641.0,46035852504.0,116713602866.0,7413348775.0
DSR,2020,12075679671.0,230979854250.0,8975949927.0,32000000,89984972820.0,252937447385.0,542.1930114375,7218.1204453125,134827677194.0,81387101322.0,58515792457.0,53440575872.0,118109770191.0,8597871498.0
DSR,2021,13454431587.0,272417651710.0,12538612095.0,32000000,124579417803.0,302598631429.0,166.6291936875,8513.0516159375,185737507109.0,115595665508.0,87914953318.0,70141841601.0,116861124320.0,8983752295.0
DSR,2022,35774891408.0,367456836231.0,24547772313.0,32000000,162383840472.0,364710386862.0,1628.41660815625,11483.02613221875,176061391451.0,139483313029.0,85462745272.0,36578078422.0,188648995411.0,22900527443.0
E1,2018,14012873466.0,4630199430898.0,79242176252.0,13720000,2249487466016.0,3565388941484.0,13464.923076749272,337478.09263104957,1446394636511.0,1362518502695.0,348374661664.0,83876133816.0,2118994304973.0,886968963321.0
E1,2019,106309924596.0,4608269823064.0,-52402496505.0,13720000,2391690337850.0,3594979133031.0,3986.40416712828,335879.72471311956,1412056938744.0,1102875721932.0,459946042954.0,309181216812.0,2182922194287.0,1288814615918.0
E1,2020,39530859081.0,3927554236615.0,56330568928.0,13720000,2487985637393.0,3731448422489.0,12761.385428571428,286264.886050656,1358137165953.0,1637841242470.0,418597248109.0,-279704076517.0,2373311256536.0,850144394923.0
E1,2021,5575314498.0,5152300897477.0,138568374513.0,13720000,2625919365638.0,3999326311289.0,3739.041218440233,375532.135384621,1629020624383.0,1311736229211.0,466148349469.0,317284395172.0,2370305686906.0,1314183136427.0
E1,2022,278730692433.0,7990767897663.0,141465519787.0,13720000,2829299481251.0,4339655185507.0,1565.583819387755,582417.4852524053,1930286688911.0,1711123011938.0,550041845991.0,219163676973.0,2409368496596.0,1118176469313.0
F&F,2021,322683779494.0,1089172086930.0,225761328128.0,15322830,599071742826.0,1140330107743.0,19024.1794283432,71081.65312347654,388466888441.0,563664512020.0,242296850338.0,-175197623579.0,751863219302.0,35407230806.0
F&F,2022,524882680312.0,1808894546708.0,442664517277.0,76614150,627006736608.0,1570179025400.0,4490.967590321109,23610.44985434153,601204892800.0,575925566738.0,297477943165.0,25279326062.0,968974132600.0,51081169870.0
F&F 홀딩스,2018,91456440182.0,668349083930.0,109298573593.0,30800000,101042339912.0,495832731537.0,886.6528854545454,21699.645582142857,291131186972.0,99760359196.0,159055708769.0,191370827776.0,204701544565.0,1281980716.0
F&F 홀딩스,2019,150736275367.0,910336565120.0,109943278059.0,30800000,200705198778.0,684437158364.0,5252.903109837663,29556.381984415584,400051201272.0,161362384559.0,175941285427.0,238688816713.0,284385957092.0,39342814219.0
F&F 홀딩스,2020,-4376662656.0,20650573255.0,85358337004.0,30800000,266105399885.0,817829021444.0,5019.582667175325,670.4731576298701,522198372547.0,242822592324.0,157530514473.0,279375780223.0,295630648897.0,23282807561.0
F&F 홀딩스,2021,209186575064.0,727126345365.0,2001404413752.0,78228734,668029961428.0,3171939343121.0,3578.580944694823,9294.875529559255,487622991613.0,573600967028.0,243751000163.0,-85977975415.0,2684316351508.0,94428994400.0
F&F 홀딩스,2022,486231560356.0,1816814937477.0,417560485966.0,78228734,706086461437.0,3595118444613.0,4251.676766723593,23224.393960881433,705796956109.0,582270616837.0,298923871250.0,123526339272.0,2889321488504.0,123815844600.0
