표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,시장구분,증권구분,소속부,주식종류,액면가,상장주식수
"KR7086280005","086280","현대글로비스보통주","현대글로비스","HYUNDAIGLOVIS Co.,LTD","2005/12/26","KOSPI","주권",,"보통주","500","37500000"
"KR7064350002","064350","현대로템보통주","현대로템","HYUNDAI ROTEM","2013/10/30","KOSPI","주권",,"보통주","5000","109142293"
"KR7079430005","079430","현대리바트보통주","현대리바트","HYUNDAILIVART","2005/11/22","KOSPI","주권",,"보통주","1000","20535282"
"KR7012330007","012330","현대모비스보통주","현대모비스","HyundaiMobis","1989/09/05","KOSPI","주권",,"보통주","5000","94285094"
"KR7010620003","010620","현대미포조선보통주","현대미포조선","HyundaiMipoDockyard","1983/12/20","KOSPI","주권",,"보통주","5000","39942149"
"KR7069960003","069960","현대백화점보통주","현대백화점","HYUNDAIDEPARTMENTSTORECO.,LTD","2002/11/25","KOSPI","주권",,"보통주","5000","23402441"
"KR7004561007","004565","현대비앤지스틸1우선주","현대비앤지스틸우","HYUNDAI BNG STEEL(1P)","1989/08/31","KOSPI","주권",,"구형우선주","5000","109852"
"KR7004560009","004560","현대비앤지스틸보통주","현대비앤지스틸","HYUNDAI BNG STEEL","1987/03/24","KOSPI","주권",,"보통주","5000","15078811"
"KR7004310009","004310","현대약품보통주","현대약품","Hyundai pharm","1978/06/28","KOSPI","주권",,"보통주","500","32000000"
"KR7017800004","017800","현대엘리베이터보통주","현대엘리베이","HyundaiElevator","1996/07/03","KOSPI","주권",,"보통주","5000","39092385"
"KR7307950006","307950","현대오토에버보통주","현대오토에버","HyundaiAutoever","2019/03/28","KOSPI","주권",,"보통주","500","27423982"
"KR7011210002","011210","현대위아보통주","현대위아","HYUNDAI WIA","2011/02/21","KOSPI","주권",,"보통주","5000","27195083"
"KR7005381009","005385","현대자동차1우선주","현대차우","HyundaiMotor(1P)","1989/09/11","KOSPI","주권",,"구형우선주","5000","24113119"
"KR7005382007","005387","현대자동차2우선주(신형)","현대차2우B","HyundaiMotor(2PB)","1998/12/02","KOSPI","주권",,"신형우선주","5000","36120597"
"KR7005383005","005389","현대자동차3우선주(신형)","현대차3우B","HyundaiMotor(3PB)","1999/04/15","KOSPI","주권",,"신형우선주","5000","2404448"
"KR7005380001","005380","현대자동차보통주","현대차","HyundaiMotor","1974/06/28","KOSPI","주권",,"보통주","5000","211531506"
"KR7004020004","004020","현대제철 보통주","현대제철","HYUNDAI STEEL","1987/05/23","KOSPI","주권",,"보통주","5000","133445785"
"KR7005440003","005440","현대지에프홀딩스보통주","현대지에프홀딩스","HYUNDAI G.F. HOLDINGS","1989/08/22","KOSPI","주권",,"보통주","500","63823568"
"KR7001500008","001500","현대차증권보통주","현대차증권","HYUNDAI MOTOR SECURITIES","1990/06/09","KOSPI","주권",,"보통주","5000","31712562"
"KR7011760006","011760","현대코퍼레이션보통주","현대코퍼레이션","HYUNDAI CORPORATION","1977/12/01","KOSPI","주권",,"보통주","5000","13228966"
"KR7227840006","227840","현대코퍼레이션홀딩스보통주","현대코퍼레이션홀딩스","HYUNDAI CORPORATION HOLDINGS","2015/10/23","KOSPI","주권",,"보통주","5000","9100836"
"KR7126560002","126560","현대퓨처넷보통주","현대퓨처넷","Hyundai Futurenet","2010/12/23","KOSPI","주권",,"보통주","500","110202945"
"KR7001450006","001450","현대해상화재보험보통주","현대해상","Hyundai MARINE & FIRE INSURANCE CO.,LTD","1989/08/25","KOSPI","주권",,"보통주","500","89400000"
"KR7057050007","057050","현대홈쇼핑보통주","현대홈쇼핑","HYUNDAI HOME SHOPPING NETWORK CORPORATION","2010/09/13","KOSPI","주권",,"보통주","5000","12000000"
"KR7093240000","093240","형지엘리트보통주","형지엘리트","HYUNGJI ELITE","2009/09/28","KOSPI","주권",,"보통주","500","31154798"
"KR7003010006","003010","혜인보통주","혜인","HaeinCorporation","1988/09/20","KOSPI","주권",,"보통주","500","12712747"
"KR7111110003","111110","호전실업보통주","호전실업","Hojeon","2017/02/02","KOSPI","주권",,"보통주","500","9749984"
"KR7008771008","008775","호텔신라1우선주","호텔신라우","HotelShilla(1P)","1991/08/09","KOSPI","주권",,"구형우선주","5000","751879"
"KR7008770000","008770","호텔신라보통주","호텔신라","HotelShilla","1991/03/12","KOSPI","주권",,"보통주","5000","39248121"
