corp,stock_code,sector,count,rating,paywellfare,worklifebal,culture,opportunity,manager,recommend,ceo,potential
농심,004370,음식료품,980,3.02,2.72,3.15,2.54,2.72,2.36,1.55,1.55,1.39
다스코,058730,기계,378,3.21,3.2,3.43,3.28,2.74,2.62,0.71,0.64,0.38
다우기술,023590,서비스업,871,3.44,3.38,3.48,3.16,3.2,2.68,1.73,1.67,1.53
다이나믹디자인,145210,기계,161,1.95,2.4,1.7,1.82,2.12,1.61,0.28,0.34,0.25
대교,019680,서비스업,1202,2.53,2.37,2.62,2.43,2.3,2.1,0.89,0.97,0.77
대구백화점,006370,유통업,206,2.48,2.18,2.28,2.28,2.38,1.78,0.33,0.36,0.19
대덕전자,353200,전기전자,971,3.02,3.22,2.8,2.62,2.55,2.44,1.5,1.55,1.41
대동,000490,기계,638,2,2.2,2,2,2.4,1.6,0.13,0.16,0.11
대림통상,006570,기계,85,2.65,2.36,3.39,2.31,2.21,1.89,0.83,0.83,0.72
대상,001680,음식료품,1436,3.4,3.1,3.5,3.15,3.25,2.75,2.07,2.05,1.89
대성산업,128820,유통업,521,2.5,2.27,2.93,2.48,2.23,1.87,0.88,0.86,0.75
대성에너지,117580,전기가스업,75,3.33,3.13,4.26,2.5,2.47,2.34,2.36,2.3,2.2
대양금속,009190,철강금속,37,2.26,2.18,2.29,2.09,2.09,1.91,0.49,0.54,0.36
대우건설,047040,건설업,1620,3.39,3.13,3.41,3.55,3.27,2.39,2.04,1.96,1.86
대웅,003090,의약품,1336,2.6,2.9,2.4,2.6,2.7,2.1,0.3,0.31,0.23
대웅제약,069620,의약품,2434,2.6,2.72,2.4,2.51,2.88,2.01,1.34,1.34,1.3
대원강업,000430,운수장비,269,2.91,3.74,2.56,2.24,2.85,2.25,1.11,1.11,0.98
대원전선,006340,전기전자,62,2.59,2.37,3.1,2.25,2.37,2.09,0.59,0.63,0.47
대원제약,003220,의약품,824,2.91,3.62,2.9,2.41,2.78,2.82,1.48,1.61,1.44
대원화성,024890,화학,37,2.63,1.7,3.46,2.78,2.25,2.12,0.59,0.71,0.5
대유에이텍,002880,운수장비,129,2.69,3.2,2.61,2.1,2.44,1.9,1.53,1.5,1.42
대유플러스,000300,전기전자,23,2,2.1,2.6,2.3,2.2,2.2,0.22,0.35,0.09
대창,012800,철강금속,87,2.77,2.8,3.19,2.46,2.44,2.38,0.87,0.99,0.68
대창단조,015230,운수장비,62,2.17,2.23,2.23,2.22,2.05,1.56,1.19,1.2,1.12
대한방직,001070,섬유의복,110,2.36,1.83,2.91,2.12,2.22,2.05,0.36,0.43,0.25
대한유화,006650,화학,345,3.35,3.49,3.51,2.71,3.05,2.59,2.25,2.23,2.14
대한전선,001440,전기전자,468,3,2.4,3.3,2.76,2.9,2.48,1.48,1.59,1.35
대한제강,084010,철강금속,175,3.36,3.41,3.36,2.98,2.98,2.9,1.19,1.28,0.96
대한제당,001790,음식료품,197,3.05,3.18,3.69,2.47,2.55,2.15,1.21,1.08,0.93
대한제분,001130,음식료품,129,2.7,2.87,2.97,2.27,2.44,2.07,1.84,1.81,1.74
대한항공,003490,운수창고업,2204,3.15,3.15,3.25,2.45,2.85,2,1.88,1.79,1.76
