id,회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
650,일신석재,7110,"건축자재, 철물 및 난방장치 도매업","건축석 제조,도소매/석공예,석공사",1986-03-04,12월,김학선,http://www.ilshinstone.co.kr,서울특별시
651,KG스틸,16380,"1차 철강 제조업","철강재(냉연강판,아연도강판,칼라강판,석도강판,선재류,강관,형강,봉강),비철금속 제조,도매",1986-02-03,12월,박성희,http://kg-steel.co.kr,서울특별시
652,아이에스동서,10780,"시멘트, 석회, 플라스터 및 그 제품 제조업","타일,위생도기,콘크리트파일,P.C관,침목 제조,도매",1986-01-27,12월,"허석헌, 정원호, 김갑진, 이준길",http://www.isdongseo.co.kr,서울특별시
653,SH에너지화학,2360,"기초 화학물질 제조업","합성수지(PS/EPS,ABS수지) 제조",1985-12-23,12월,정케빈규봉,http://www.sh-enerchem.com,전라북도
654,대한화섬,3830,"화학섬유 제조업","화학섬유원사(FY,PTY,S.FIBER)제조",1985-12-23,12월,정철현,http://www.daehansf.co.kr,서울특별시
655,코리아써키트,7810,"전자부품 제조업","인쇄회로기판,Module 제조/부동산(건물) 임대",1985-09-09,12월,장세준,http://www.kcg.co.kr,경기도
656,신세계,4170,"종합 소매업","백화점,할인점(E마트)",1985-08-19,12월,손영식,http://www.shinsegae.com,서울특별시
657,OCI홀딩스,10060,"기초 화학물질 제조업","타르제품,카본블랙,무수프탈산,농약원제,석탄화학제품,정밀화학제품,플라스틱창호재 제조,판매",1985-07-09,12월,"이우현, 서진석(2인, 각자 대표이사)",http://www.oci.co.kr,서울특별시
658,삼일제약,520,"의약품 제조업","양약(부루펜,액티피드,포리부틴) 제조,도매",1985-05-29,12월,"허승범, 김상진 (각자 대표이사)",http://www.samil-pharm.com,서울특별시
659,인스코비,6490,"전기 통신업","시계,스마트그리드,도소매,소프트웨어개발",1985-01-17,12월,"유인수, 구자갑 (각자 대표이사)",http://www.inscobee.com,서울특별시
660,일성신약,3120,"의약품 제조업","의약품(항생제,화학료법제,항바이러스,근이완제,영양액륜) 제조,판매",1985-01-14,12월,"윤석근, 윤종욱",http://www.ilsung-ph.co.kr,서울특별시
661,현대건설,720,"토목 건설업","공사수입,주택분양,건설산업부문 설계,감리 등 엔지니어링서비스",1984-12-22,12월,윤영준,http://www.hdec.kr,서울특별시
662,TCC스틸,2710,"1차 철강 제조업","석도강판,표면처리강판 제조,판매",1984-12-21,12월,"손봉락, 조석희, 손기영 (각자대표)",http://www.tccsteel.com,경상북도
663,에이프로젠바이오로직스,3060,"의약품 제조업","의약품(항생제,영양수액제,드링크제,철결핍성빈혈예방치료제,경옥동충하초) 제조,판매",1984-10-19,12월,"김정출, 이승호",http://www.aprogen-pharm.com,서울특별시
664,"F&F 홀딩스",7700,"기타 금융업","스포츠웨어(골프웨어) 제조/도서출판(단행본,유아/아동전집류(아인슈타인시리즈),잡지)/이천고속도로휴게소/문구사무용품,수입의류 판매,소매",1984-10-04,12월,박의헌,http://www.fnfholdings.com,서울특별시
665,아남전자,8700,"영상 및 음향기기 제조업","칼라TV,오디오,비디오 제조,도매",1984-08-11,12월,김태수,http://www.aname.co.kr,서울특별시
666,현대미포조선,10620,"선박 및 보트 건조업","선박수리,선박개조,선박신조",1983-12-20,12월,김형관,http://www.hmd.co.kr,울산광역시
667,GS건설,6360,"건물 건설업","토목공사,건축공사,주택공사,산업플랜트공사,리모델링공사,시설물유지관리공사/산업설비설계,감리 용역,수출입/에너지관리 진단,연구개발",1981-08-03,12월,"허창수, 임병용(각자 대표이사)",http://www.gsconst.co.kr/,서울특별시
