id,stock_code,jobp_rating,jobp_paywellfare,jobp_worklifebal,jobp_culture,jobp_opportunity,jobp_manager,jobp_recommend,jobp_ceo,jobp_potential,jobp_cnt,blind_rating,blind_cnt,blind_opportunity,blind_worklifebal,blind_paywellfare,blind_culture,blind_manager,corp
158,002880,2.6,3.2,2.7,2.1,2.2,1.9,0.4,0.34,0.19,68,2.8,61,2.7,2.5,3.2,2.1,1.9,대유에이텍
159,000300,2,2.1,2.6,2.3,2.2,2.2,0.22,0.35,0.09,23,0,0,0,0,0,0,0,대유플러스
160,012800,2.7,2.8,3.1,2.5,2.4,2.4,0.37,0.51,0.14,71,3.1,16,2.6,3.6,2.8,2.3,2.3,대창
161,015230,2.5,2.5,2.5,2.6,2.1,2,0.32,0.35,0.18,28,1.9,34,2,2,2,1.9,1.2,대창단조
162,001070,2.3,1.8,2.8,2.1,2.2,2,0.12,0.2,0.01,101,3,9,2.4,4.2,2.2,2.3,2.6,대한방직
163,006650,3.6,3.8,3.7,2.9,3.3,2.9,0.63,0.58,0.33,128,3.2,217,2.9,3.4,3.3,2.6,2.4,대한유화
164,001440,3,2.4,3.3,2.8,2.9,2.4,0.37,0.56,0.15,271,3,197,2.9,3.3,2.4,2.7,2.6,대한전선
165,084010,3.3,3.3,3.3,3,3,2.9,0.54,0.66,0.25,138,3.6,37,2.9,3.6,3.8,2.9,2.9,대한제강
166,001790,3,3.1,3.5,2.5,2.6,2.2,0.46,0.28,0.07,143,3.2,54,2.4,4.2,3.4,2.4,2,대한제당
167,001130,2.9,3,3.1,2.4,2.7,2.2,0.36,0.27,0.07,44,2.6,85,2.3,2.9,2.8,2.2,2,대한제분
168,003490,3.1,3.4,3.1,2.5,2.9,2.1,0.52,0.33,0.27,1086,3.2,1118,2.8,3.4,2.9,2.4,1.9,대한항공
169,005880,3.2,3.3,2.5,2.6,3.2,2.4,0.56,0.38,0.28,61,3,47,3,2.8,3.3,2.4,2.9,대한해운
170,192080,3.4,3.8,3.3,3.1,2.7,2.9,0.55,0.64,0.34,95,3.2,161,2.3,3.7,3.6,3,2.4,더블유게임즈
171,012510,2.4,2.2,2.4,2.2,2.6,1.7,0.22,0.21,0.26,1361,2.4,901,2.6,2.5,2.3,2.1,1.7,더존비즈온
172,004830,3,2.7,3.8,3.1,2,2.3,0.43,0.35,0.05,165,2.5,2,3,3,1.5,1.5,1.5,덕성
173,024900,3.3,3.6,3.3,2.8,2.9,2.4,0.51,0.4,0.13,114,3.1,48,2.8,3.3,3.8,2.7,2.1,덕양산업
174,002150,3,3.1,2.3,2.4,3.3,2.4,0.45,0.49,0.28,368,2.9,311,3.1,2.6,2.9,2.3,2.1,도화엔지니어링
175,001230,3.3,3.5,3.3,2.9,3,2.9,0.6,0.7,0.22,325,0,0,0,0,0,0,0,동국홀딩스
176,004140,2.2,1.9,2.7,2.1,2,1.7,0.15,0.13,0.09,199,3.2,62,2.9,3.9,3,2.9,2.4,동방
177,007590,3,3.3,2.8,2.6,2.8,2.7,0.58,0.52,0.13,24,3.5,2,3.5,3.5,3,3,3,동방아그로
178,005960,3.1,3.1,2.8,3.1,3,2.4,0.4,0.44,0.28,165,3.3,174,3.4,2.8,3.2,3.2,2.4,동부건설
179,026960,4.1,4.2,4.2,3.6,3.7,3.3,0.85,0.62,0.23,319,3.3,59,2.2,4,3.2,2,1.7,동서
180,102260,2.9,2.6,3.4,2.9,3.1,2.2,0.36,0.48,0.09,33,3,29,2.6,3.5,2.6,2.5,2.2,동성케미컬
181,000640,3.4,3.1,3.6,3.1,3,2.7,0.59,0.5,0.14,59,3.7,23,3.5,4.1,3.3,4,3,동아쏘시오홀딩스
182,170900,3.4,3.2,3.8,3.1,3,2.5,0.61,0.38,0.16,405,3.5,506,3,4.3,3,3.3,2.4,동아에스티
183,028100,1.7,2,1.4,1.7,2.4,1.8,0.08,0.32,0.1,119,1.7,32,2.1,1.4,1.6,1.5,1.4,동아지질
184,282690,2.5,2.6,2.2,2.1,2.4,2,0.26,0.28,0.18,77,2.6,5,2.6,3.6,2.8,2.2,1.6,동아타이어
185,001520,2.2,1.8,2.3,2.3,2.4,1.8,0.14,0.24,0.06,296,3.7,52,3,3.6,3.7,3.2,3.2,동양
186,084670,2.2,2.8,2.8,1.9,2.9,2.3,0.31,0.46,0.08,13,2.3,7,2.1,3.1,3.1,2.4,1.9,동양고속
